ID,Player,Points,Rebounds,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPct,ThreePointAttempted,ThreePointMade,ThreePointPercent,FTAttempted,FTMade,FTPercent,TrueShootingPct
1,Bradley Kishaba,12.6,11,2.2,8.8,4,1.2,0.2,2.4,14,5.4,0.385714286,1.4,0.4,0.285714286,3.2,1.4,0.4375,0.408878505
2,Jake Taylor,16.2,13,4.4,8.6,3.8,0.4,1.6,2.8,20.4,6.4,0.31372549,9.4,2.4,0.255319149,3.4,0.6,0.176470588,0.369930581
3,Max Gasser,8.4,6.2,0.4,5.8,1.8,1.4,0.4,1.4,13.8,3.2,0.231884058,7.2,1.8,0.25,0.6,0.2,0.333333333,0.298634812
4,Caden Neel,7,7,1,6,0.6,0.4,0,1.4,7,2.8,0.4,0.6,0.2,0.333333333,1.8,1.2,0.666666667,0.449178645
5,Will Wyman,14.8,7.8,0.2,7.6,3.4,0.6,0.6,2.6,18,6.2,0.344444444,8.4,1.4,0.166666667,2,1,0.5,0.391949153
6,Mikey Finerty,26.2,6.6,2,4.6,1.6,1.2,0.8,1.6,24.2,9.2,0.380165289,12,4.2,0.35,5.6,3.6,0.642857143,0.49129913
7,Charlie Karagosian,5.6,9.6,4.4,5.2,1.6,0.4,0.2,0.8,8.4,2.4,0.285714286,1.4,0,0,1.6,0.8,0.5,0.307557118
8,Jack Grote,3.8,5.6,2.2,3.4,1.8,0.8,0.8,0.4,6,1.4,0.233333333,1.2,0,0,2.4,0.8,0.333333333,0.269274376
9,Sam Ault,25.6,11.4,1.8,9.6,1.2,0.4,0.6,1.8,29.2,9.2,0.315068493,16,3.4,0.2125,5.4,3.8,0.703703704,0.405371168
10,Tyler Mundy,17.6,11.8,2.8,9,2.6,2,0.2,2.4,18.6,7.2,0.387096774,6.4,1.8,0.28125,1.8,1.4,0.777777778,0.45379538
11,Spencer Ault,3.2,4,1.4,2.6,3,1,1,1.2,8.2,1.2,0.146341463,6,0.8,0.133333333,0,0,#DIV/0!,0.195121951
12,Hank Schaaf,3.2,6,2,4,1.4,0.4,0.4,0.6,4.8,1.6,0.333333333,1.8,0,0,1.6,0.2,0.125,0.290697674
13,Charlie Easton,20,12.2,2.8,9.4,2.8,1.2,0.6,3,21.8,8,0.366972477,7,1.6,0.228571429,3.8,2.4,0.631578947,0.426039536
14,Billy Easton,19.4,11,2,9,2.2,3,2.4,3.6,18.6,7.4,0.397849462,4.4,1.2,0.272727273,4.4,3.4,0.772727273,0.472341254
15,Gabe Franco,4,7.75,1.75,6,3.25,1,0.5,3,10.25,2,0.195121951,2,0,0,0,0,#DIV/0!,0.195121951
16,Ayush Malik,4.5,5.5,1.75,3.75,0.75,0.75,0.75,0.75,9.25,2,0.216216216,3.75,0.75,0.2,0.5,0,0,0.237592397
17,Bridger Costello,30.8,14.6,4,10.6,1.8,0.6,2.4,2,35.2,12.4,0.352272727,16.2,4,0.24691358,4.4,2,0.454545455,0.414691943
18,Sean Finerty,10.8,9.8,2.8,7,1.2,1.2,0,1.4,15,4.6,0.306666667,2.8,0,0,3.2,1.8,0.5625,0.329107752
19,Iain Smith,6,9.4,3.6,5.8,2.8,0.6,0.4,2,7,2.2,0.314285714,3,0.2,0.066666667,3.4,1.6,0.470588235,0.353107345
20,Liam Swenson,2,5.8,1.2,4.6,1.6,1.2,0.2,1.4,3.8,0.8,0.210526316,0.8,0,0,1.4,0.6,0.428571429,0.226449275
21,Rayan Tilmatine,15.6,10,1.8,8.2,2.8,1.8,0.4,2.6,17,5.6,0.329411765,8.4,2,0.238095238,5.8,2.4,0.413793103,0.39893617
22,Derek Mundy,17.2,12.4,3.6,8.8,2,2,0.4,3,20.6,7.4,0.359223301,4.8,0.6,0.125,4.6,1.8,0.391304348,0.380127298
23,Giacomo Sorrentino,8.6,9,3,6,1,1.2,1,1.2,10.8,3.4,0.314814815,2.4,0.4,0.166666667,3.4,1.4,0.411764706,0.349707222
24,Miles Zabala,2.6,2.2,1,1.2,1.2,0.4,0.2,0.2,5.05,1.1,0.217391304,2.25,0.5,0.222222222,1.6,0.4,0.25,0.225929788
25,Cody Taylor,29.6,19,7.8,11.2,3.2,2.4,0.4,2.4,31,11.8,0.380645161,13.2,2.6,0.196969697,7.2,2.6,0.361111111,0.433153828
26,Erick Lengtat,16,12.2,4.2,8,1.6,2.2,1,2.2,19.2,6.4,0.333333333,9.6,2.4,0.25,2.2,0.8,0.363636364,0.396667989
27,Dylan Starsnic,5.8,7,3,4,2,0.6,0.2,1.6,8.4,2.2,0.261904762,3.2,0.8,0.25,1,0.6,0.6,0.328054299
28,Aedan Enriquez,4.6,4,1.2,2.8,1.4,0.6,0,0.6,6.8,1.6,0.235294118,4.2,1.4,0.333333333,0,0,#DIV/0!,0.338235294
29,Aidan Doms,27.5,16.25,4.25,12,3,2,1.5,1.25,24.5,10.5,0.428571429,11,2.25,0.204545455,6.25,4.25,0.68,0.504587156
30,Joe Morrison,12.8,10.4,3.2,7.2,4.6,0.8,0.4,3.8,13.4,5.2,0.388059701,0.2,0,0,4.8,2.4,0.5,0.412583806
31,Jalen Rosario,14.2,5.8,1.4,4.4,1.8,1,0.4,1.8,16.2,6.4,0.395061728,2.4,0.4,0.166666667,2,1.2,0.6,0.415690867
32,Silas Kirsch,3.4,3,1,2,1.8,0.6,0,0.6,2.6,1.6,0.615384615,0.2,0,0,0.2,0.2,1,0.632440476